#cos(angle)     	phase function  
9.9820000000e-01	1.6571346029e+00
9.9070000000e-01	1.6434862967e+00
9.7730000000e-01	1.6193828140e+00
9.5790000000e-01	1.5851239225e+00
9.3280000000e-01	1.5419117851e+00
9.0210000000e-01	1.4907530852e+00
8.6600000000e-01	1.4329606839e+00
8.2460000000e-01	1.3697984196e+00
7.7830000000e-01	1.3030569806e+00
7.2730000000e-01	1.2342405956e+00
6.7200000000e-01	1.1651099212e+00
6.1260000000e-01	1.0971147338e+00
5.4950000000e-01	1.0318672053e+00
4.8310000000e-01	9.7083502332e-01
4.1380000000e-01	9.1531930829e-01
3.4200000000e-01	8.6643770134e-01
2.6820000000e-01	8.2516222032e-01
1.9270000000e-01	7.9213792053e-01
1.1610000000e-01	7.6792943637e-01
3.8800000000e-02	7.5277355914e-01
-3.8800000000e-02	7.4670876997e-01
-1.1610000000e-01	7.4956474101e-01
-1.9270000000e-01	7.6094437137e-01
-2.6820000000e-01	7.8028854847e-01
-3.4200000000e-01	8.0680922734e-01
-4.1380000000e-01	8.3966244168e-01
-4.8310000000e-01	8.7781371524e-01
-5.4950000000e-01	9.2016987342e-01
-6.1260000000e-01	9.6556651427e-01
-6.7200000000e-01	1.0127865011e+00
-7.2730000000e-01	1.0605785334e+00
-7.7830000000e-01	1.1078671764e+00
-8.2460000000e-01	1.1534207577e+00
-8.6600000000e-01	1.1962332351e+00
-9.0210000000e-01	1.2351443742e+00
-9.3280000000e-01	1.2693780152e+00
-9.5790000000e-01	1.2981391949e+00
-9.7730000000e-01	1.3208406008e+00
-9.9070000000e-01	1.3367594107e+00
-9.9820000000e-01	1.3457538230e+00
